model,N,K,T,df1,df2,grs,pvalue,q_alpha,sh2_factors,mean_abs_alpha,Sigma_min_eig
CAPM,25,1,754,25,728,4.103661510680509,1.6663044042525636e-10,0.14344583335922642,0.01790624215689228,0.19452250534064128,0.7452044114091584
FF3,25,3,754,25,726,3.554154226326053,1.7519576939528612e-08,0.1267263925806166,0.03544590532450798,0.08895485496354723,0.22576307255073447
